rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,#KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC,Unnamed: 11
119,4936180,K00820.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,4.64090031,1.485e-05,-1.485e-05,173.64638,0.00261,-0.00261,2455006.646,0.00261,-0.00261,0.0,,,,,,1.28,0.098,-0.07,35.512,0.274,-0.274,,,,2450.6,11.7,-11.7,0.333559,0.087893,-0.075709,0.00218,0.00039,-0.0004,LS+MCMC,30.09,5.79,-3.14,0.0503,,,19.01,,,1155.0,,,421.08,257.38,-124.0,1.354,0.242,-0.242,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3,0.2852,q1_q17_dr25_koi,14.098484,135.01852,296.9,1,227.0,1.0,q1_q17_dr25_tce,11111011101110111000000000000000,0.9095,Mandel and Agol (2002 ApJ 580 171),,,004/004936/004936180/dv/kplr004936180-20160209194854_dvr.pdf,004/004936/004936180/dv/kplr004936180-001-20160209194854_dvs.pdf,6463.0,205.0,-205.0,4.5,0.087,-0.163,-1.66,0.3,-0.2,0.826,0.159,-0.086,0.786,0.062,-0.045,,,,q1_q17_dr25_stellar,295.11371,40.071171,15.27,15.662,15.249,15.102,15.046,14.224,13.954,13.785,0.029,19.674246,2.8e-06,40.071187,2.9e-05,-0.05,0.11,0.06,0.1,-9e-05,0.00056,0.00051,0.00063,0.007,0.073,-0.098,0.072,0.098,0.072,-0.073,0.077,-0.103,0.072,0.126,0.073,4936180.0,4.6409218,9.7e-06,54964.943578,-1.0,-1.0,73.7972,8.568,15.27,6287.0,True,
177,6599919,K00858.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,13.61014819,5.969e-06,-5.969e-06,173.987319,0.000346,-0.000346,2455006.987,0.000346,-0.000346,0.0,,,,,,1.081,0.347,-0.119,2.594,0.0194,-0.0194,,,,5732.9,38.1,-38.1,0.192842,0.311636,-0.088824,0.84633,0.09034,-0.11004,LS+MCMC,19.02,4.92,-2.28,0.1061,,,86.94,,,733.0,,,68.29,52.16,-20.86,20.24,2.2,-2.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2787,0.3728,q1_q17_dr25_koi,36.547604,209.14677,184.1,1,101.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9953,Mandel and Agol (2002 ApJ 580 171),,,006/006599/006599919/dv/kplr006599919-20160209194854_dvr.pdf,006/006599/006599919/dv/kplr006599919-001-20160209194854_dvs.pdf,5697.0,154.0,-154.0,4.46,0.098,-0.182,-0.26,0.3,-0.3,0.903,0.234,-0.108,0.857,0.117,-0.072,,,,q1_q17_dr25_stellar,289.89777,42.009151,15.06,15.607,14.999,14.825,14.697,13.702,13.307,13.245,0.015,19.3265228,1.6e-06,42.009183,1.7e-05,0.191,0.063,0.118,0.06,-0.00066,0.00057,0.00021,0.00069,0.056,0.075,-0.045,0.07,0.072,0.073,0.139,0.077,0.08,0.069,0.16,0.075,6599919.0,13.6101053,4.53e-05,54843.666732,0.016829,0.04,73.7586,12.9523,15.06,5440.0,False,
270,9140402,K00928.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.494170338,1.264e-06,-1.264e-06,170.852848,0.000426,-0.000426,2455003.853,0.000426,-0.000426,0.0,,,,,,0.095,0.239,-0.095,1.1221,0.0175,-0.0175,,,,863.7,13.9,-13.9,0.026777,0.00092,-0.00062,15.93621,4.74362,-0.23155,LS+MCMC,2.42,0.24,-0.12,0.0351,,,89.69,,,1194.0,,,480.19,142.04,-79.6,17.37,5.2,-5.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2396,0.4415,q1_q17_dr25_koi,5.3565664,37.2115,69.2,1,535.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3378,Mandel and Agol (2002 ApJ 580 171),,,009/009140/009140402/dv/kplr009140402-20160209194854_dvr.pdf,009/009140/009140402/dv/kplr009140402-001-20160209194854_dvs.pdf,5569.0,99.0,-110.0,4.566,0.02,-0.08,-0.08,0.15,-0.15,0.829,0.082,-0.041,0.928,0.039,-0.078,,,,q1_q17_dr25_stellar,284.75943,45.599129,15.251,15.793,15.211,15.019,14.929,13.945,13.542,13.589,0.064,18.9839442,7.8e-06,45.599007,8.7e-05,-0.67,0.29,-0.44,0.31,0.00028,0.00015,4e-05,0.00017,-0.04,0.1,0.033,0.095,0.05,0.098,-0.1,0.11,-0.25,0.12,0.26,0.13,9140402.0,2.4941656,3.9e-06,54966.443667,0.017297,0.28,75.6829,17.7666,15.251,5450.0,False,
319,10460629,K01168.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,856.672115,0.009591,-0.009591,228.44988,0.00727,-0.00727,2455061.45,0.00727,-0.00727,0.0,,,,,,0.1158,0.2441,-0.1157,23.144,0.287,-0.287,,,,858.1,27.7,-27.7,0.027062,0.000689,-0.000418,0.61949,0.02736,-0.13324,MCMC,3.87,1.94,-0.75,1.8045,,,89.95,,,242.0,,,0.81,1.22,-0.35,288.6,12.7,-12.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3082,0.2905,q1_q16_koi,,,39.2,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,6449.0,163.0,-210.0,4.232,0.163,-0.27,-0.32,0.24,-0.3,1.309,0.656,-0.254,1.063,0.253,-0.119,,,,stellar_q1_q16,287.58679,47.600021,13.997,14.339,13.96,13.851,13.834,12.923,12.672,12.595,,,,,,,,,,,,,,,,,,,,,,,,,,10460629.0,525.02,0.0073539,54916.243409,0.057432,0.0,78.378,16.6945,13.997,6209.0,False,
319,10460629,K01168.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,856.672115,0.009591,-0.009591,228.44988,0.00727,-0.00727,2455061.45,0.00727,-0.00727,0.0,,,,,,0.1158,0.2441,-0.1157,23.144,0.287,-0.287,,,,858.1,27.7,-27.7,0.027062,0.000689,-0.000418,0.61949,0.02736,-0.13324,MCMC,3.87,1.94,-0.75,1.8045,,,89.95,,,242.0,,,0.81,1.22,-0.35,288.6,12.7,-12.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3082,0.2905,q1_q16_koi,,,39.2,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,6449.0,163.0,-210.0,4.232,0.163,-0.27,-0.32,0.24,-0.3,1.309,0.656,-0.254,1.063,0.253,-0.119,,,,stellar_q1_q16,287.58679,47.600021,13.997,14.339,13.96,13.851,13.834,12.923,12.672,12.595,,,,,,,,,,,,,,,,,,,,,,,,,,10460629.0,856.65,0.0147,55061.433863,0.225168,0.0,78.378,16.6945,13.997,6209.0,False,
328,11180361,K00971.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,PLANET_IN_STAR---CENT_SATURATED,0.533059312,,,171.2274419,,,2455004.227,,,0.0,,,,,,1.263,,,1.8621,,,,,,1495.8,,,0.301918,0.0,0.0,0.20416,0.0,0.0,LS,133.56,25.98,-77.91,0.0167,,,29.64,,,5862.0,,,277887.7,170694.09,-236607.72,1.452852,,,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2809,0.2642,q1_q17_dr25_koi,22.87552,13.460673,179.6,1,2003.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.6362,Mandel and Agol (2002 ApJ 580 171),,,011/011180/011180361/dv/kplr011180361-20160209194854_dvr.pdf,011/011180/011180361/dv/kplr011180361-001-20160209194854_dvs.pdf,8523.0,267.0,-326.0,3.559,0.639,-0.071,-0.5,0.15,-0.3,4.051,0.788,-2.363,2.166,0.377,-0.7,,,,q1_q17_dr25_stellar,286.0192,48.866741,7.748,7.628,7.789,7.935,8.034,7.388,7.343,7.355,0.0,19.0678934,8.8e-06,48.86693,0.00012,-1.89,0.31,0.68,0.45,0.000122,3.2e-05,6.1e-05,4.6e-05,7.6,1.7,-3.7,1.6,8.4,2.0,9.7,2.2,-7.2,2.4,12.1,3.0,11180361.0,0.5330609,4e-07,54964.777867,0.017589,0.57,79.2128,18.1299,7.748,8330.0,True,
347,11013201,K00972.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.632,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,13.118962443,6.039e-06,-6.039e-06,261.539434,0.000329,-0.000329,2455094.539,0.000329,-0.000329,0.0,,,,,,0.042,0.271,-0.042,4.3045,0.0122,-0.0122,,,,372.2,1.5,-1.5,0.017826,0.000163,-5.8e-05,1.46058,0.00221,-0.33196,LS+MCMC,8.25,0.45,-2.5,0.1376,,,89.9,,,1768.0,,,2310.43,419.83,-1290.11,23.6858,0.0358,-0.0358,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2369,0.3715,q1_q17_dr25_koi,25.880836,182.40976,267.4,2,103.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8905,Mandel and Agol (2002 ApJ 580 171),,,011/011013/011013201/dv/kplr011013201-20160209194854_dvr.pdf,011/011013/011013201/dv/kplr011013201-001-20160209194854_dvs.pdf,7221.0,114.0,-171.0,3.488,0.272,-0.048,-0.18,0.15,-0.1,4.24,0.227,-1.284,2.018,0.029,-0.248,,,,q1_q17_dr25_stellar,282.00031,48.542221,9.275,9.265,9.278,9.392,9.493,8.816,8.765,8.736,,18.8000076,3.1e-06,48.542446,3.4e-05,-0.49,0.11,0.81,0.12,0.000238,4e-05,,,-3.41,0.96,3.9,1.3,5.2,1.5,-3.21,0.81,4.3,1.1,5.4,1.3,11013201.0,0.2273937,1e-07,55001.990706,0.013106,0.98,77.9525,20.5223,9.275,7779.0,True,
349,11013201,K00972.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,LPP_ALT---CENT_SATURATED,7.82187328,2.242e-05,-2.242e-05,123.49907,0.00248,-0.00248,2454956.499,0.00248,-0.00248,0.0,,,,,,0.005,0.397,-0.005,3.8417,0.0707,-0.0707,,,,42.2,1.3,-1.3,0.006005,0.000172,-0.0001,1.18707,0.0734,-0.32452,LS+MCMC,2.78,0.15,-0.84,0.0975,,,89.98,,,2101.0,,,4601.71,836.19,-2569.52,15.658,0.968,-0.968,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2369,0.3715,q1_q17_dr25_koi,11.118767,20.88297,37.2,2,166.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8888,Mandel and Agol (2002 ApJ 580 171),,,011/011013/011013201/dv/kplr011013201-20160209194854_dvr.pdf,011/011013/011013201/dv/kplr011013201-002-20160209194854_dvs.pdf,7221.0,114.0,-171.0,3.488,0.272,-0.048,-0.18,0.15,-0.1,4.24,0.227,-1.284,2.018,0.029,-0.248,,,,q1_q17_dr25_stellar,282.00031,48.542221,9.275,9.265,9.278,9.392,9.493,8.816,8.765,8.736,,18.800049,2.7e-05,48.54236,0.0003,1.0,0.97,0.5,1.1,-2.6e-05,3.1e-05,,,-2.6,1.2,2.8,1.7,3.9,1.7,-4.7,1.2,3.0,1.8,5.6,1.7,11013201.0,0.2273937,1e-07,55001.990706,0.013106,0.98,77.9525,20.5223,9.275,7779.0,True,
364,2307199,K00151.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.752,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,13.4471791,1.247e-05,-1.247e-05,132.830555,0.00077,-0.00077,2454965.831,0.00077,-0.00077,0.0,,,,,,0.963,0.013,-0.008,3.0454,0.0546,-0.0546,,,,1428.2,21.1,-21.1,0.046114,0.005175,-0.003796,0.27583,0.01691,-0.06473,LS+MCMC,5.24,1.64,-0.7,0.1109,,,86.0,,,848.0,,,122.34,112.28,-42.14,13.815,0.847,-0.847,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3058,0.3071,q1_q17_dr25_koi,16.016148,101.02754,105.3,1,100.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4334,Mandel and Agol (2002 ApJ 580 171),,,002/002307/002307199/dv/kplr002307199-20160209194854_dvr.pdf,002/002307/002307199/dv/kplr002307199-001-20160209194854_dvs.pdf,6276.0,169.0,-206.0,4.405,0.087,-0.203,-0.32,0.3,-0.3,1.041,0.326,-0.14,1.001,0.158,-0.115,,,,q1_q17_dr25_stellar,292.37476,37.630959,14.0,14.391,13.952,13.832,13.76,12.891,12.605,12.554,0.006,19.4916534,3.4e-06,37.630755,4e-05,0.09,0.14,-0.74,0.14,9e-05,0.00025,0.00037,0.00027,0.04,0.13,-0.24,0.1,0.24,0.11,0.06,0.12,-0.14,0.1,0.15,0.12,2307199.0,13.4471107,4.47e-05,55006.176594,0.020973,0.07,70.6055,9.317,14.0,6028.0,True,
376,9032900,K00134.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,LPP_DV---MOD_NONUNIQ_DV---MOD_TER_DV---MOD_POS_DV---MOD_NONUNIQ_ALT---MOD_TER_ALT---MOD_POS_ALT,67.5923754,0.0005335,-0.0005335,151.75056,0.00535,-0.00535,2454984.751,0.00535,-0.00535,0.0,,,,,,0.728,0.017,-0.451,12.249,0.332,-0.332,,,,4158.1,79.7,-79.7,0.063536,5.8e-05,-0.004707,0.14489,0.2145,-0.03815,LS+MCMC,12.1,2.25,-2.76,0.3582,,,88.73,,,588.0,,,28.2,14.74,-12.7,32.7,16.1,-16.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2845,0.3747,q1_q17_dr25_koi,56.80393,97.08831,60.9,1,21.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3897,Mandel and Agol (2002 ApJ 580 171),,,009/009032/009032900/dv/kplr009032900-20160209194854_dvr.pdf,009/009032/009032900/dv/kplr009032900-002-20160209194854_dvs.pdf,6038.0,120.0,-120.0,4.082,0.18,-0.12,0.34,0.1,-0.15,1.744,0.325,-0.398,1.341,0.125,-0.152,,,,q1_q17_dr25_stellar,295.58658,45.364979,13.675,14.038,13.622,13.52,13.49,12.628,12.413,12.322,0.123,19.7057672,6.5e-06,45.364865,8.4e-05,-0.18,0.25,-0.41,0.3,9e-05,0.00017,0.0001,0.00023,-0.02,0.36,-0.1,0.39,0.1,0.4,0.05,0.37,-0.15,0.39,0.16,0.34,9032900.0,67.5242226,0.0004415,54985.471559,0.841239,0.22,78.6976,10.7615,13.675,6156.0,True,
