rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,#KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC,Unnamed: 11
4,10848459,K00754.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,2455003.308,0.000115,-0.000115,0.0,,,,,,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,,,,8079.2,12.8,-12.8,0.387394,0.109232,-0.08495,0.2208,0.00917,-0.01837,LS+MCMC,33.46,8.5,-2.83,0.0267,,,67.09,,,1395.0,,,891.96,668.95,-230.35,3.278,0.136,-0.136,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2865,0.3556,q1_q17_dr25_koi,39.06655,541.8951,505.6,1,621.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.0,Mandel and Agol (2002 ApJ 580 171),,,010/010848/010848459/dv/kplr010848459-20160209194854_dvr.pdf,010/010848/010848459/dv/kplr010848459-001-20160209194854_dvs.pdf,5805.0,157.0,-174.0,4.564,0.053,-0.168,-0.52,0.3,-0.3,0.791,0.201,-0.067,0.836,0.093,-0.077,,,,q1_q17_dr25_stellar,285.53461,48.28521,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809,0.0,19.03563762,8.6e-07,48.2852105,7.4e-06,-0.111,0.031,0.002,0.027,0.00302,0.00057,-0.00142,0.00081,-0.249,0.072,0.147,0.078,0.289,0.079,-0.257,0.072,0.099,0.077,0.276,0.076,10848459.0,1.7369522,2.3e-06,54965.093801,0.015988,0.36,78.5209,18.2244,15.597,5555.0,False,
15,10419211,K00742.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,11.521446064,1.98e-06,-1.98e-06,170.839688,0.000131,-0.000131,2455003.84,0.000131,-0.000131,0.0,,,,,,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,,,,17984.0,31.9,-31.9,1.625358,2.847129,-0.663339,1.27376,2.30242,-0.41065,LS+MCMC,150.51,39.76,-13.31,0.0978,,,83.13,,,753.0,,,75.88,58.89,-19.99,20.75,9.4,-9.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,q1_q17_dr25_koi,92.901566,628.3708,622.1,1,96.0,1.0,q1_q17_dr25_tce,11111101110111011000000000000000,0.154,Mandel and Agol (2002 ApJ 580 171),,,010/010419/010419211/dv/kplr010419211-20160209194854_dvr.pdf,010/010419/010419211/dv/kplr010419211-001-20160209194854_dvs.pdf,5795.0,155.0,-172.0,4.554,0.033,-0.176,-0.2,0.25,-0.3,0.848,0.224,-0.075,0.938,0.098,-0.109,,,,q1_q17_dr25_stellar,297.07993,47.597401,15.472,15.994,15.419,15.249,15.153,14.248,13.831,13.827,0.895,19.80533055,6.5e-07,47.5973894,6.4e-06,0.068,0.024,-0.038,0.023,0.0,0.0015,0.0001,0.0022,0.009,0.067,-0.009,0.067,0.013,0.067,0.147,0.067,0.037,0.07,0.151,0.067,10419211.0,11.5214272,3.59e-05,54969.275098,0.023403,0.08,81.1953,10.911,15.472,5572.0,False,
16,10464078,K00743.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---HAS_SEC_TCE,19.40393776,2.068e-05,-2.068e-05,172.484253,0.000842,-0.000842,2455005.484,0.000842,-0.000842,0.0,,,,,,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,,,,8918.7,53.3,-53.3,0.096729,0.000533,-0.000532,0.03785,0.00107,-0.00172,LS+MCMC,7.18,0.76,-0.68,0.123,,,84.93,,,523.0,,,17.69,6.66,-4.88,9.099,0.257,-0.257,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1908,0.5172,q1_q17_dr25_koi,49.468765,320.90817,214.7,1,71.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.806,Mandel and Agol (2002 ApJ 580 171),,,010/010464/010464078/dv/kplr010464078-20160209194854_dvr.pdf,010/010464/010464078/dv/kplr010464078-001-20160209194854_dvs.pdf,5043.0,151.0,-151.0,4.591,0.072,-0.048,-0.54,0.35,-0.3,0.68,0.072,-0.065,0.657,0.085,-0.036,,,,q1_q17_dr25_stellar,289.25821,47.635319,15.487,16.229,15.44,15.169,14.985,13.95,13.429,13.287,0.048,19.28388234,6.4e-07,47.6353187,5.8e-06,0.038,0.023,-0.005,0.021,-0.00038,0.00087,-0.0002,0.0013,-0.001,0.067,0.009,0.068,0.009,0.068,-0.147,0.068,-0.038,0.069,0.152,0.068,10464078.0,19.4040168,7.51e-05,54966.674182,0.085342,0.2,78.8652,15.669,15.487,4877.0,False,
17,10480982,K00744.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,19.221388942,1.123e-06,-1.123e-06,184.5521637,4.5e-05,-4.5e-05,2455017.552,4.5e-05,-4.5e-05,0.0,,,,,,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,,,,74284.0,21.9,-21.9,0.476633,0.024501,-0.027744,1.57359,0.00657,-0.02917,LS+MCMC,49.29,16.03,-5.0,0.1417,,,88.05,,,698.0,,,55.97,54.55,-16.4,31.323,0.131,-0.131,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3447,q1_q17_dr25_koi,387.658,2174.4263,2317.0,2,55.0,1.0,q1_q17_dr25_tce,11111101110111011000000000000000,0.0003,Mandel and Agol (2002 ApJ 580 171),,,010/010480/010480982/dv/kplr010480982-20160209194854_dvr.pdf,010/010480/010480982/dv/kplr010480982-001-20160209194854_dvs.pdf,6117.0,182.0,-200.0,4.496,0.052,-0.208,-0.22,0.25,-0.35,0.947,0.308,-0.096,1.025,0.139,-0.139,,,,q1_q17_dr25_stellar,295.81454,47.69035,15.341,15.798,15.293,15.145,15.053,14.2,13.863,13.727,0.0,19.7209653,1.5e-07,47.6902759,1.6e-06,-0.1235,0.0055,-0.2667,0.0056,-0.0005,0.009,-0.002,0.013,0.003,0.067,0.005,0.067,0.006,0.067,-0.018,0.068,-0.203,0.067,0.203,0.067,10480982.0,19.221388,7.51e-05,54979.108679,0.030146,0.06,80.8696,11.7068,15.341,5876.0,False,
18,10485250,K00745.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---HAS_SEC_TCE,16.46983774,1.361e-05,-1.361e-05,180.881761,0.000623,-0.000623,2455013.882,0.000623,-0.000623,0.0,,,,,,0.292,0.118,-0.101,9.4378,0.06,-0.06,,,,10479.0,39.9,-39.9,0.092509,0.000598,-0.001109,0.19353,0.02009,-0.01907,LS+MCMC,7.94,0.89,-0.89,0.1147,,,88.81,,,595.0,,,29.61,12.01,-8.91,14.05,1.5,-1.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2075,0.49,q1_q17_dr25_koi,43.1625,258.8247,303.4,1,66.0,1.0,q1_q17_dr25_tce,01111101110111011000000000000000,0.0112,Mandel and Agol (2002 ApJ 580 171),,,010/010485/010485250/dv/kplr010485250-20160209194854_dvr.pdf,010/010485/010485250/dv/kplr010485250-001-20160209194854_dvs.pdf,5152.0,168.0,-153.0,4.517,0.088,-0.072,-0.2,0.3,-0.3,0.786,0.088,-0.088,0.741,0.106,-0.057,,,,q1_q17_dr25_stellar,297.15442,47.668701,15.788,16.529,15.724,15.47,15.29,14.176,13.688,13.555,0.0,19.81029277,8.7e-07,47.6686305,9.5e-06,-0.092,0.032,-0.25,0.034,0.0007,0.0013,0.0008,0.0019,-0.04,0.068,-0.004,0.067,0.04,0.068,0.017,0.07,0.001,0.072,0.017,0.071,10485250.0,16.4697832,6.18e-05,55013.886118,0.069579,0.2,81.2835,10.9009,15.788,4957.0,True,
21,10583180,K00748.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_UNRESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,2.696370652,7.534e-06,-7.534e-06,170.73769,0.00234,-0.00234,2455003.738,0.00234,-0.00234,0.0,,,,,,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,,,,397.9,9.5,-9.5,0.017673,0.000551,-0.000311,0.51471,0.01428,-0.14593,LS+MCMC,1.58,0.13,-0.16,0.0349,,,89.56,,,1066.0,,,305.34,96.64,-86.33,5.827,0.162,-0.162,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,q1_q17_dr25_koi,5.508401,34.570904,48.2,1,501.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0505,Mandel and Agol (2002 ApJ 580 171),,,010/010583/010583180/dv/kplr010583180-20160209194854_dvr.pdf,010/010583/010583180/dv/kplr010583180-001-20160209194854_dvs.pdf,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.1,0.25,-0.3,0.819,0.067,-0.082,0.781,0.078,-0.056,,,,q1_q17_dr25_stellar,283.76547,47.804298,15.269,16.07,15.204,14.926,14.789,13.732,13.212,13.14,0.0,18.917658,1e-05,47.80415,0.0001,-1.47,0.37,-0.53,0.37,0.00047,0.00012,0.00019,0.00012,1.08,0.58,2.19,0.52,2.44,0.53,0.89,0.52,2.32,0.5,2.49,0.54,10583180.0,2.6962813,4.4e-06,54966.010891,0.192778,0.48,77.6151,19.1698,15.269,4825.0,False,
25,2306756,K00113.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,2454999.342,0.000299,-0.000299,0.0,,,,,,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,,,,24927.0,45.8,-45.8,0.240528,0.03529,-0.019779,4.63335,0.31031,-0.12558,MCMC,41.5,1.68,-1.68,1.0719,,,89.95,,,297.0,,,1.84,0.26,-0.24,332.0,22.2,-22.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2251,0.4707,q1_q16_koi,,,994.0,1,,1.0,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,002/002306/002306756/dv/kplr002306756-20130815195353_dvr.pdf,002/002306/002306756/dv/kplr002306756-001-20130826182306_dvs.pdf,5543.0,79.0,-79.0,4.081,0.014,-0.014,0.44,0.101,-0.101,1.58,0.064,-0.064,1.103,0.097,-0.097,,,,stellar_q1_q16,292.27374,37.671558,12.394,12.933,12.322,12.163,12.094,11.151,10.808,10.72,0.002,19.48491512,4.4e-07,37.6715786,6.2e-06,-0.008,0.019,0.067,0.022,-0.0007,0.0034,0.0006,0.0043,0.001,0.068,0.037,0.068,0.037,0.068,0.001,0.075,0.163,0.07,0.163,0.07,2306756.0,386.6,0.0050535,54999.342231,0.044178,0.0,70.6051,9.4067,12.394,5362.0,True,
29,11463211,K00770.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET,1.50635409,4.7e-07,-4.7e-07,170.998064,0.000246,-0.000246,2455003.998,0.000246,-0.000246,0.0,,,,,,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,,,,2211.7,18.3,-18.3,0.049899,0.002001,-0.004217,0.84722,0.97599,-0.30543,LS+MCMC,4.53,1.01,-0.44,0.025,,,79.38,,,1452.0,,,1054.12,703.1,-292.26,4.67,1.8,-1.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,q1_q17_dr25_koi,9.787732,130.6654,181.1,1,882.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,1.0,Mandel and Agol (2002 ApJ 580 171),,,011/011463/011463211/dv/kplr011463211-20160209194854_dvr.pdf,011/011463/011463211/dv/kplr011463211-001-20160209194854_dvs.pdf,5714.0,155.0,-172.0,4.563,0.04,-0.16,-0.2,0.3,-0.3,0.831,0.186,-0.08,0.926,0.09,-0.11,,,,q1_q17_dr25_stellar,295.66522,49.351009,15.525,16.051,15.474,15.299,15.23,14.266,13.905,13.821,0.0,19.7110359,2.7e-06,49.351189,2.7e-05,0.769,0.096,0.643,0.097,-0.00174,0.00019,-0.0015,0.00022,0.998,0.075,0.821,0.072,1.292,0.075,0.877,0.074,0.734,0.074,1.144,0.076,11463211.0,1.5063542,1.9e-06,54964.832732,0.012457,0.33,82.3303,12.5601,15.525,5502.0,True,
30,11465813,K00771.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,INDIV_TRANS_CHASES_MARSHALL---ALL_TRANS_CHASES---CENT_FEW_DIFFS,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,2455042.044,0.00157,-0.00157,0.0,,,,,,0.701,0.004,-0.005,53.412,0.131,-0.131,,,,18091.0,33.5,-33.5,0.131705,0.000242,-0.000326,0.02605,0.00045,-0.00046,LS+MCMC,14.14,2.13,-0.71,1.5155,,,89.53,,,196.0,,,0.35,0.15,-0.06,85.24,1.5,-1.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2111,0.4955,q1_q17_dr25_koi,70.64302,96.96236,642.7,1,3.0,1.0,q1_q17_dr25_tce,11100011111111111000000000000000,0.0001,Mandel and Agol (2002 ApJ 580 171),,,011/011465/011465813/dv/kplr011465813-20160209194854_dvr.pdf,011/011465/011465813/dv/kplr011465813-001-20160209194854_dvs.pdf,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.48,0.05,-0.15,0.983,0.148,-0.049,1.03,0.042,-0.058,,,,q1_q17_dr25_stellar,296.69861,49.316479,15.207,15.533,14.917,15.068,14.96,13.678,13.317,13.254,0.0,19.7798916,1.8e-06,49.316601,1.1e-05,-0.551,0.062,0.435,0.039,0.0175,0.0035,-0.0049,0.0051,-1.286,0.069,0.227,0.094,1.306,0.07,-1.047,0.089,0.31,0.12,1.092,0.092,11465813.0,670.7,0.0073539,55285.816598,0.302424,0.01,82.6183,11.9473,15.207,5574.0,False,
41,11242721,K00763.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE,19.651209505,5.862e-06,-5.862e-06,179.401981,0.000249,-0.000249,2455012.402,0.000249,-0.000249,0.0,,,,,,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,,,,11766.0,27.7,-27.7,0.106953,0.000536,-5.1e-05,0.67559,0.05956,-0.03177,LS+MCMC,12.42,3.92,-1.69,0.1433,,,88.27,,,730.0,,,67.03,62.46,-23.51,23.98,2.1,-2.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,85.46643,509.4985,513.4,1,59.0,1.0,q1_q17_dr25_tce,01101111111111111000000000000000,0.5224,Mandel and Agol (2002 ApJ 580 171),,,011/011242/011242721/dv/kplr011242721-20160209194854_dvr.pdf,011/011242/011242721/dv/kplr011242721-001-20160209194854_dvs.pdf,6074.0,168.0,-210.0,4.391,0.09,-0.21,-0.12,0.3,-0.3,1.063,0.336,-0.144,1.014,0.153,-0.126,,,,q1_q17_dr25_stellar,291.0939,48.933842,15.536,16.02,15.488,15.329,15.243,14.322,14.024,13.921,0.518,19.40625763,8.6e-07,48.9338338,7.7e-06,-0.059,0.03,-0.022,0.028,0.00021,0.00083,-0.0002,0.0012,0.006,0.067,0.0,0.067,0.006,0.067,-0.028,0.069,0.033,0.067,0.043,0.068,11242721.0,19.651205,7.95e-05,54973.099764,0.039917,0.08,80.6078,15.0733,15.536,5788.0,False,
