rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.811,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,2454955.763,8.7e-06,-8.7e-06,0.0,,,,,,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,,,,14231.0,4.2,-4.2,0.123871,5.1e-05,-7.1e-05,1.83538,0.00587,-0.00846,LS+MCMC,13.04,0.51,-0.51,0.0354,,,84.41,,,1339.0,,,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,544.1701,6468.04,4304.3,1,432.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.1522,Mandel and Agol (2002 ApJ 580 171),,,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,011/011446/011446443/dv/kplr011446443-001-20160209194854_dvs.pdf,5820.0,78.0,-78.0,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,,,,q1_q17_dr25_stellar,286.80847,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,0.0,19.12056404,4.6e-08,49.31642961,4.9e-07,-0.0232,0.0016,0.1066,0.0018,-0.00012,0.00012,0.00078,0.00019,-0.009,0.068,-0.3,0.16,0.3,0.16,0.015,0.069,-0.27,0.17,0.27,0.17
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.709214104,6.536e-06,-6.536e-06,133.98318,0.00143,-0.00143,2454966.983,0.00143,-0.00143,0.0,,,,,,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,,,,131.1,3.0,-3.0,0.010424,0.000318,-0.000147,1.77451,0.06493,-0.57483,LS+MCMC,1.16,0.17,-0.12,0.0465,,,89.73,,,1206.0,,,500.46,197.96,-130.54,10.888,0.398,-0.398,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,4.8657312,41.28873,50.6,2,352.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.605,Mandel and Agol (2002 ApJ 580 171),,,010/010984/010984090/dv/kplr010984090-20160209194854_dvr.pdf,010/010984/010984090/dv/kplr010984090-002-20160209194854_dvs.pdf,5833.0,105.0,-117.0,4.407,0.085,-0.114,-0.04,0.15,-0.15,1.022,0.143,-0.107,0.974,0.066,-0.066,,,,q1_q17_dr25_stellar,295.64871,48.49556,12.772,13.169,12.74,12.602,12.564,11.698,11.402,11.367,0.009,19.709924,7.6e-06,48.495685,7.9e-05,0.36,0.27,0.45,0.28,-4.6e-05,3.4e-05,-5e-05,3.6e-05,0.24,0.16,-0.15,0.28,0.29,0.2,0.16,0.16,-0.13,0.27,0.21,0.21
30,11465813,K00771.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,INDIV_TRANS_CHASES_MARSHALL---ALL_TRANS_CHASES---CENT_FEW_DIFFS,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,2455042.044,0.00157,-0.00157,0.0,,,,,,0.701,0.004,-0.005,53.412,0.131,-0.131,,,,18091.0,33.5,-33.5,0.131705,0.000242,-0.000326,0.02605,0.00045,-0.00046,LS+MCMC,14.14,2.13,-0.71,1.5155,,,89.53,,,196.0,,,0.35,0.15,-0.06,85.24,1.5,-1.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2111,0.4955,q1_q17_dr25_koi,70.64302,96.96236,642.7,1,3.0,1.0,q1_q17_dr25_tce,11100011111111111000000000000000,0.0001,Mandel and Agol (2002 ApJ 580 171),,,011/011465/011465813/dv/kplr011465813-20160209194854_dvr.pdf,011/011465/011465813/dv/kplr011465813-001-20160209194854_dvs.pdf,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.48,0.05,-0.15,0.983,0.148,-0.049,1.03,0.042,-0.058,,,,q1_q17_dr25_stellar,296.69861,49.316479,15.207,15.533,14.917,15.068,14.96,13.678,13.317,13.254,0.0,19.7798916,1.8e-06,49.316601,1.1e-05,-0.551,0.062,0.435,0.039,0.0175,0.0035,-0.0049,0.0051,-1.286,0.069,0.227,0.094,1.306,0.07,-1.047,0.089,0.31,0.12,1.092,0.092
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,38.3775486,0.0001602,-0.0001602,172.82048,0.00338,-0.00338,2455005.82,0.00338,-0.00338,0.0,,,,,,0.468,0.461,-0.267,5.588,0.113,-0.113,,,,724.2,23.4,-23.4,0.024901,0.000184,-0.001271,1.40588,0.66103,-0.15885,LS+MCMC,2.82,0.37,-0.34,0.2163,,,89.44,,,529.0,,,18.53,6.72,-4.93,47.8,22.5,-22.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,10.352898,31.946487,34.7,1,37.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3889,Mandel and Agol (2002 ApJ 580 171),,,011/011507/011507101/dv/kplr011507101-20160209194854_dvr.pdf,011/011507/011507101/dv/kplr011507101-001-20160209194854_dvs.pdf,5481.0,82.0,-74.0,4.369,0.121,-0.099,0.16,0.15,-0.15,1.036,0.138,-0.124,0.915,0.061,-0.042,,,,q1_q17_dr25_stellar,291.72202,49.480869,15.172,15.654,15.089,14.965,14.874,13.962,13.639,13.497,0.0,19.4481442,8.2e-06,49.480618,8.5e-05,0.36,0.29,-0.91,0.31,0.00067,0.00021,-0.00104,0.00022,-0.85,0.31,1.54,0.49,1.76,0.56,-0.01,0.13,0.04,0.16,0.04,0.14
38,11138155,K00760.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,2455005.259,8.27e-05,-8.27e-05,0.0,,,,,,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,,,,9802.0,20.0,-20.0,0.103379,0.001245,-7.4e-05,1.46169,0.05503,-0.18338,LS+MCMC,12.21,1.96,-1.46,0.0565,,,86.15,,,1103.0,,,349.4,146.52,-93.21,12.386,0.466,-0.466,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,58.764744,670.4895,696.5,1,269.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0517,Mandel and Agol (2002 ApJ 580 171),,,011/011138/011138155/dv/kplr011138155-20160209194854_dvr.pdf,011/011138/011138155/dv/kplr011138155-001-20160209194854_dvs.pdf,5712.0,77.0,-77.0,4.359,0.11,-0.11,0.1,0.15,-0.15,1.082,0.173,-0.13,0.976,0.073,-0.055,,,,q1_q17_dr25_stellar,292.16705,48.727589,15.263,15.715,15.209,15.069,15.041,14.123,13.815,13.805,0.705,19.47780401,6.2e-07,48.7275662,5.6e-06,0.0,0.022,-0.086,0.02,0.00011,0.00052,-7e-05,0.00075,-0.018,0.067,0.012,0.067,0.022,0.067,-0.021,0.067,-0.077,0.068,0.08,0.068
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.412203927,3.052e-06,-3.052e-06,133.143089,0.000468,-0.000468,2454966.143,0.000468,-0.000468,0.0,,,,,,0.787,0.005,-0.565,2.9472,0.024,-0.024,,,,601.6,4.0,-4.0,0.024775,6e-05,-0.001886,0.51087,1.25402,-0.00404,LS+MCMC,2.94,0.43,-0.38,0.0591,,,85.12,,,1093.0,,,337.68,137.29,-102.18,9.25,4.5,-4.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,46.475086,163.47614,166.7,3,244.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2265,Mandel and Agol (2002 ApJ 580 171),,,009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf,009/009579/009579641/dv/kplr009579641-001-20160209194854_dvs.pdf,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,,,,q1_q17_dr25_stellar,287.88733,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.0,19.1924882,1.9e-06,46.276192,1.9e-05,0.007,0.07,-0.175,0.068,-5.2e-05,4.3e-05,-0.000137,4.2e-05,-0.03,0.079,0.08,0.11,0.08,0.11,-0.16,0.078,-0.18,0.13,0.24,0.11
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,41.43958662,7.557e-05,-7.557e-05,208.93203,0.00142,-0.00142,2455041.932,0.00142,-0.00142,0.0,,,,,,0.355,0.04,-0.355,10.5989,0.088,-0.088,,,,2793.1,22.6,-22.6,0.048175,0.000284,-0.001083,0.28189,0.06167,-0.03545,LS+MCMC,5.5,1.57,-0.96,0.2288,,,89.31,,,516.0,,,16.72,14.66,-6.64,29.47,6.4,-6.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,27.788597,124.52492,141.1,1,33.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4776,Mandel and Agol (2002 ApJ 580 171),,,011/011304/011304958/dv/kplr011304958-20160209194854_dvr.pdf,011/011304/011304958/dv/kplr011304958-001-20160209194854_dvs.pdf,5468.0,180.0,-164.0,4.367,0.153,-0.187,0.22,0.2,-0.3,1.046,0.297,-0.183,0.93,0.092,-0.074,,,,q1_q17_dr25_stellar,295.55505,49.017342,15.4,16.068,15.32,15.114,14.996,13.948,13.596,13.519,0.043,19.7036699,2.9e-06,49.017297,3.3e-05,0.0,0.1,-0.15,0.12,-0.00022,0.00032,-0.0004,0.0004,-0.029,0.082,-0.072,0.092,0.078,0.096,-0.049,0.083,-0.069,0.089,0.085,0.094
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.431238488,6.106e-06,-6.106e-06,171.015,0.00111,-0.00111,2455004.015,0.00111,-0.00111,0.0,,,,,,0.405,0.041,-0.405,3.15,0.0423,-0.0423,,,,1010.9,15.2,-15.2,0.02933,0.000228,-0.000889,1.01996,0.37117,-0.07443,LS+MCMC,3.25,0.47,-0.25,0.0529,,,87.72,,,1104.0,,,351.23,135.26,-68.33,10.19,3.7,-3.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2555,0.4191,q1_q17_dr25_koi,6.815371,58.259056,71.1,3,302.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.52,Mandel and Agol (2002 ApJ 580 171),,,012/012366/012366084/dv/kplr012366084-20160209194854_dvr.pdf,012/012366/012366084/dv/kplr012366084-001-20160209194854_dvs.pdf,5714.0,77.0,-77.0,4.428,0.063,-0.117,0.16,0.15,-0.15,1.015,0.148,-0.079,1.007,0.056,-0.062,,,,q1_q17_dr25_stellar,295.81616,51.121738,15.367,15.912,15.311,15.133,15.081,14.179,13.799,13.765,0.016,19.7210781,6.2e-06,51.121966,6e-05,0.03,0.21,0.82,0.21,0.0005,0.00022,-0.0001,0.00023,-0.097,0.099,0.03,0.11,0.1,0.11,-0.045,0.096,0.06,0.1,0.07,0.11
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.37936986,2.415e-05,-2.415e-05,133.84992,0.00183,-0.00183,2454966.85,0.00183,-0.00183,0.0,,,,,,0.911,0.009,-0.656,2.6255,0.073,-0.073,,,,1023.5,29.7,-29.7,0.035628,0.000101,-0.006092,0.63438,6.6161,-0.08378,LS+MCMC,3.95,0.57,-0.31,0.0993,,,86.8,,,806.0,,,99.68,38.38,-19.39,16.31,8.1,-8.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2555,0.4191,q1_q17_dr25_koi,5.2506146,29.930164,37.9,3,109.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2364,Mandel and Agol (2002 ApJ 580 171),,,012/012366/012366084/dv/kplr012366084-20160209194854_dvr.pdf,012/012366/012366084/dv/kplr012366084-002-20160209194854_dvs.pdf,5714.0,77.0,-77.0,4.428,0.063,-0.117,0.16,0.15,-0.15,1.015,0.148,-0.079,1.007,0.056,-0.062,,,,q1_q17_dr25_stellar,295.81616,51.121738,15.367,15.912,15.311,15.133,15.081,14.179,13.799,13.765,0.372,19.721105,1.2e-05,51.12198,0.00011,0.93,0.39,0.88,0.39,-0.00041,0.00041,-0.00017,0.00042,0.09,0.17,-0.06,0.13,0.11,0.17,0.14,0.17,-0.05,0.13,0.15,0.18
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,13.57078281,1.585e-05,-1.585e-05,136.279194,0.000957,-0.000957,2454969.279,0.000957,-0.000957,0.0,,,,,,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,,,,511.7,6.3,-6.3,0.023908,0.000413,-0.002627,0.49865,2.55354,-0.08697,LS+MCMC,2.64,0.4,-0.27,0.1096,,,87.07,,,785.0,,,89.61,38.12,-22.92,16.93,7.9,-7.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,18.771214,76.76887,88.4,4,101.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6645,Mandel and Agol (2002 ApJ 580 171),,,008/008395/008395660/dv/kplr008395660-20160209194854_dvr.pdf,008/008395/008395660/dv/kplr008395660-001-20160209194854_dvs.pdf,5854.0,105.0,-117.0,4.406,0.09,-0.11,-0.12,0.15,-0.15,1.012,0.154,-0.103,0.951,0.07,-0.063,,,,q1_q17_dr25_stellar,300.86398,44.337551,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,0.044,20.0576138,4.9e-06,44.337549,4.4e-05,0.61,0.19,0.0,0.16,-4.4e-05,9.8e-05,0.000108,8.3e-05,0.26,0.13,0.02,0.15,0.26,0.13,0.37,0.13,0.19,0.15,0.41,0.13
