rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,11.59822233,1.407e-05,-1.407e-05,180.395376,0.000923,-0.000923,2455013.395,0.000923,-0.000923,0.0,,,,,,0.679,0.187,-0.47,2.5237,0.052,-0.052,,,,2804.5,46.3,-46.3,0.051287,0.005219,-0.003254,3.14915,3.9658,-0.02771,LS+MCMC,2.65,0.21,-0.29,0.0798,,,88.62,,,396.0,,,5.82,1.49,-1.63,28.2,11.8,-11.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3872,0.3156,q1_q17_dr25_koi,11.461336,62.376225,71.0,1,115.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6552,Mandel and Agol (2002 ApJ 580 171),,,011/011923/011923270/dv/kplr011923270-20160209194854_dvr.pdf,011/011923/011923270/dv/kplr011923270-001-20160209194854_dvs.pdf,3688.0,73.0,-91.0,4.79,0.05,-0.045,0.0,0.15,-0.15,0.473,0.037,-0.051,0.503,0.035,-0.053,,,,q1_q17_dr25_stellar,296.22195,50.28722,15.937,17.501,16.14,15.267,14.795,13.474,12.813,12.628,0.178,19.7481495,5.9e-06,50.287475,6.2e-05,0.63,0.2,0.92,0.22,-0.00029,0.00064,0.0006,0.00077,0.059,0.094,-0.03,0.082,0.066,0.095,0.29,0.11,0.628,0.08,0.69,0.086
117,4913852,K00818.01,Kepler-691 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,8.11437482,1.092e-05,-1.092e-05,176.33968,0.00107,-0.00107,2455009.34,0.00107,-0.00107,0.0,,,,,,0.573,0.0,-0.468,2.2736,0.0447,-0.0447,,,,1558.0,32.0,-32.0,0.037204,0.005948,-0.001531,3.76716,2.38541,-3.13735,LS+MCMC,2.1,0.14,-0.16,0.0649,,,88.61,,,460.0,,,10.55,2.46,-2.31,23.58,7.5,-7.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2964,0.4262,q1_q17_dr25_koi,6.7459397,45.585175,56.4,1,167.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.1566,Mandel and Agol (2002 ApJ 580 171),,,004/004913/004913852/dv/kplr004913852-20160209194854_dvr.pdf,004/004913/004913852/dv/kplr004913852-001-20160209194854_dvs.pdf,3692.0,73.0,-83.0,4.753,0.032,-0.039,0.28,0.15,-0.15,0.517,0.035,-0.039,0.553,0.027,-0.044,,,,q1_q17_dr25_stellar,288.81201,40.033401,15.877,17.474,16.091,15.192,14.705,13.405,12.723,12.492,0.024,19.254116,6.6e-06,40.033178,7.4e-05,-0.74,0.27,-0.8,0.27,0.00033,0.00044,0.00054,0.00045,0.08,0.089,-0.018,0.087,0.082,0.089,-0.588,0.097,-0.517,0.095,0.78,0.1
171,6435936,K00854.01,Kepler-705 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.996,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,56.0560754,0.0002753,-0.0002753,201.16578,0.00329,-0.00329,2455034.166,0.00329,-0.00329,0.0,,,,,,0.018,0.413,-0.018,4.685,0.132,-0.132,,,,1626.0,66.7,-66.7,0.036134,0.001465,-0.000983,5.11354,0.40953,-1.64419,LS+MCMC,1.94,0.12,-0.22,0.228,,,89.99,,,233.0,,,0.69,0.15,-0.19,94.7,7.6,-7.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3107,0.423,q1_q17_dr25_koi,6.1299686,19.2542,27.4,1,24.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0766,Mandel and Agol (2002 ApJ 580 171),,,006/006435/006435936/dv/kplr006435936-20160209194854_dvr.pdf,006/006435/006435936/dv/kplr006435936-001-20160209194854_dvs.pdf,3593.0,71.0,-86.0,4.757,0.054,-0.027,0.26,0.15,-0.15,0.491,0.03,-0.055,0.503,0.036,-0.054,,,,q1_q17_dr25_stellar,289.50848,41.812119,15.849,17.455,16.093,15.162,14.719,13.446,12.778,12.536,0.048,19.30056,1.2e-05,41.81202,0.00014,-0.24,0.47,-0.35,0.49,0.00077,0.00086,0.00092,0.00093,0.1,0.24,-0.33,0.17,0.35,0.19,0.19,0.26,-0.57,0.18,0.6,0.21
245,7907423,K00899.01,Kepler-249 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,7.11373257,1.275e-05,-1.275e-05,174.32351,0.00143,-0.00143,2455007.324,0.00143,-0.00143,0.0,,,,,,0.334,0.117,-0.334,2.1764,0.0496,-0.0496,,,,807.6,20.5,-20.5,0.025862,0.000573,-0.000797,5.31573,1.48774,-1.24038,LS+MCMC,1.16,0.13,-0.17,0.0551,,,89.21,,,429.0,,,8.01,2.66,-2.73,24.23,6.8,-6.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.366,0.3573,q1_q17_dr25_koi,5.9298773,35.776676,44.4,3,186.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.474,Mandel and Agol (2002 ApJ 580 171),,,007/007907/007907423/dv/kplr007907423-20160209194854_dvr.pdf,007/007907/007907423/dv/kplr007907423-001-20160209194854_dvs.pdf,3561.0,71.0,-89.0,4.855,0.055,-0.055,0.0,0.15,-0.15,0.411,0.045,-0.06,0.44,0.041,-0.076,,,,q1_q17_dr25_stellar,296.98505,43.65852,15.234,16.847,15.445,14.543,14.057,12.836,12.15,11.966,0.0,19.7990216,7.6e-06,43.658304,8.3e-05,0.69,0.3,-0.78,0.3,-0.00019,0.00024,0.00074,0.00025,-0.06,0.15,-0.17,0.12,0.18,0.13,0.52,0.19,0.09,0.13,0.53,0.18
246,7907423,K00899.02,Kepler-249 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,3.306551643,6.4e-06,-6.4e-06,134.37211,0.00159,-0.00159,2454967.372,0.00159,-0.00159,0.0,,,,,,0.001,0.43,-0.001,1.8177,0.0485,-0.0485,,,,509.2,15.6,-15.6,0.020275,0.000698,-0.00044,4.9442,0.09823,-1.85866,LS+MCMC,0.91,0.1,-0.13,0.0331,,,90.0,,,554.0,,,22.19,7.37,-7.57,14.19,0.282,-0.282,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.366,0.3573,q1_q17_dr25_koi,6.330976,30.518122,37.8,3,398.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.7114,Mandel and Agol (2002 ApJ 580 171),,,007/007907/007907423/dv/kplr007907423-20160209194854_dvr.pdf,007/007907/007907423/dv/kplr007907423-002-20160209194854_dvs.pdf,3561.0,71.0,-89.0,4.855,0.055,-0.055,0.0,0.15,-0.15,0.411,0.045,-0.06,0.44,0.041,-0.076,,,,q1_q17_dr25_stellar,296.98505,43.65852,15.234,16.847,15.445,14.543,14.057,12.836,12.15,11.966,0.165,19.7990238,8.9e-06,43.658485,9.8e-05,0.77,0.35,-0.13,0.35,-0.00016,0.00018,0.00014,0.00018,0.088,0.089,-0.11,0.15,0.14,0.13,0.73,0.11,0.16,0.11,0.75,0.11
247,7907423,K00899.03,Kepler-249 d,CONFIRMED,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,15.36845737,4.067e-05,-4.067e-05,147.38965,0.00229,-0.00229,2454980.39,0.00229,-0.00229,0.0,,,,,,0.115,0.32,-0.115,2.4714,0.069,-0.069,,,,756.1,26.4,-26.4,0.02471,0.000906,-0.0006,9.06854,0.4398,-3.46872,LS+MCMC,1.11,0.12,-0.16,0.0922,,,89.86,,,332.0,,,2.86,0.95,-0.98,48.38,2.3,-2.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.366,0.3573,q1_q17_dr25_koi,6.217123,24.263742,30.9,3,82.0,3.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.781,Mandel and Agol (2002 ApJ 580 171),,,007/007907/007907423/dv/kplr007907423-20160209194854_dvr.pdf,007/007907/007907423/dv/kplr007907423-003-20160209194854_dvs.pdf,3561.0,71.0,-89.0,4.855,0.055,-0.055,0.0,0.15,-0.15,0.411,0.045,-0.06,0.44,0.041,-0.076,,,,q1_q17_dr25_stellar,296.98505,43.65852,15.234,16.847,15.445,14.543,14.057,12.836,12.15,11.966,0.002,19.799001,1.1e-05,43.65837,0.00012,-0.1,0.42,-0.56,0.42,0.00042,0.00033,0.00055,0.00033,-0.18,0.26,0.25,0.24,0.31,0.2,0.4,0.29,0.51,0.25,0.65,0.31
306,9388479,K00936.01,Kepler-732 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.953,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,9.467821474,6.129e-06,-6.129e-06,178.415842,0.000517,-0.000517,2455011.416,0.000517,-0.000517,0.0,,,,,,0.081,0.261,-0.081,2.4327,0.0221,-0.0221,,,,2237.0,19.8,-19.8,0.042684,0.000655,-0.000317,6.23401,0.149,-1.23339,LS+MCMC,2.13,0.19,-0.25,0.0691,,,89.85,,,407.0,,,6.47,1.81,-1.94,30.913,0.739,-0.739,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3258,0.4047,q1_q17_dr25_koi,17.65574,110.05442,124.7,2,145.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0813,Mandel and Agol (2002 ApJ 580 171),,,009/009388/009388479/dv/kplr009388479-20160209194854_dvr.pdf,009/009388/009388479/dv/kplr009388479-001-20160209194854_dvs.pdf,3582.0,71.0,-89.0,4.807,0.05,-0.045,0.18,0.15,-0.15,0.458,0.04,-0.055,0.491,0.034,-0.063,,,,q1_q17_dr25_stellar,283.73203,45.958771,15.073,16.712,15.31,14.371,13.89,12.596,11.952,11.721,0.455,18.9154502,2.5e-06,45.958547,2.6e-05,-0.667,0.093,-0.804,0.094,-0.00012,0.00024,-0.00012,0.00027,0.065,0.096,0.05,0.11,0.085,0.089,-0.58,0.1,-0.616,0.096,0.848,0.099
307,9388479,K00936.02,Kepler-732 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.704,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,0.893040969,4.61e-07,-4.61e-07,134.540342,0.000418,-0.000418,2454967.54,0.000418,-0.000418,0.0,,,,,,0.009,0.398,-0.009,1.0981,0.0159,-0.0159,,,,741.7,10.2,-10.2,0.024717,0.0006,-0.000274,6.2,0.18736,-1.6758,LS+MCMC,1.24,0.1,-0.15,0.0143,,,89.92,,,893.0,,,151.14,42.14,-45.33,6.394,0.193,-0.193,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3258,0.4047,q1_q17_dr25_koi,6.1433687,45.230915,87.8,2,1452.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.5878,Mandel and Agol (2002 ApJ 580 171),,,009/009388/009388479/dv/kplr009388479-20160209194854_dvr.pdf,009/009388/009388479/dv/kplr009388479-002-20160209194854_dvs.pdf,3582.0,71.0,-89.0,4.807,0.05,-0.045,0.18,0.15,-0.15,0.458,0.04,-0.055,0.491,0.034,-0.063,,,,q1_q17_dr25_stellar,283.73203,45.958771,15.073,16.712,15.31,14.371,13.89,12.596,11.952,11.721,0.0,18.91545,5e-06,45.95865,5.2e-05,-0.67,0.19,-0.43,0.19,-3e-05,0.0001,-0.00023,0.00011,-0.023,0.08,-0.05,0.1,0.055,0.1,-0.65,0.09,-0.714,0.095,0.966,0.093
419,6124941,K01058.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,5.670155713,5.441e-06,-5.441e-06,136.201739,0.000777,-0.000777,2454969.202,0.000777,-0.000777,0.0,,,,,,1.267,66.56,-0.225,0.9361,0.0608,-0.0608,,,,536.7,19.6,-19.6,0.292493,66.55111,-0.221118,1.00118,678.01117,-0.23572,LS+MCMC,5.85,2.81,-1.22,0.034,,,83.91,,,341.0,,,3.21,4.86,-1.33,11.94,6.0,-6.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.4341,0.2646,q1_q17_dr25_koi,4.4484825,26.999758,37.3,1,232.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8116,Mandel and Agol (2002 ApJ 580 171),,,006/006124/006124941/dv/kplr006124941-20160209194854_dvr.pdf,006/006124/006124941/dv/kplr006124941-001-20160209194854_dvs.pdf,3337.0,115.0,-57.0,5.126,0.104,-0.127,-0.46,0.3,-0.25,0.183,0.088,-0.038,0.164,0.103,-0.034,,,,q1_q17_dr25_stellar,292.26181,41.442554,13.783,14.891,13.759,13.308,,11.494,10.924,10.675,0.0,19.4842098,7.9e-06,41.442161,8.1e-05,3.6,0.32,-1.41,0.29,-0.00149,0.00016,0.00131,0.00015,2.514,0.091,-2.209,0.09,3.346,0.097,3.055,0.094,-0.84,0.11,3.168,0.1
432,4061149,K01201.01,Kepler-1741 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,2.757584622,6.935e-06,-6.935e-06,133.05017,0.00209,-0.00209,2454966.05,0.00209,-0.00209,0.0,,,,,,0.093,0.352,-0.093,0.9267,0.0793,-0.0793,,,,563.1,37.0,-37.0,0.021901,0.000626,-0.001319,30.83073,36.09737,-14.54978,LS+MCMC,1.01,0.11,-0.13,0.0296,,,89.77,,,615.0,,,33.79,10.93,-10.56,23.14,9.0,-9.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.426,0.2631,q1_q17_dr25_koi,3.8556795,16.614893,19.6,1,490.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6305,Mandel and Agol (2002 ApJ 580 171),,,004/004061/004061149/dv/kplr004061149-20160209194854_dvr.pdf,004/004061/004061149/dv/kplr004061149-001-20160209194854_dvs.pdf,3683.0,73.0,-88.0,4.84,0.05,-0.055,-0.22,0.15,-0.15,0.424,0.045,-0.055,0.454,0.037,-0.064,,,,q1_q17_dr25_stellar,292.57703,39.12088,15.597,17.076,15.742,14.962,14.561,13.409,12.758,12.611,0.045,19.50513,1.5e-05,39.12097,0.00015,-0.24,0.64,0.33,0.54,-0.00023,0.00034,-0.00035,0.0003,0.7,0.33,-0.12,0.32,0.71,0.3,0.24,0.31,-0.32,0.32,0.4,0.32
